COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
China,Shanghai,2014,17,14606.11,3825.39,31.2,121.5,4
China,Shanghai,2015,17,15509.38,3916.38,31.2,121.5,4
China,Shenzhen,2006,23.4,9900.85,4334.35,22.5431,114.0579,85
China,Shenzhen,2007,23.5,11031.25,4411.78,22.5431,114.0579,85
China,Shenzhen,2008,22.8,12086.36,4886.63,22.5431,114.0579,85
China,Shenzhen,2009,23.2,12409.09,5095.18,22.5431,114.0579,85
China,Shenzhen,2010,23,14075.99,5311.24,22.5431,114.0579,85
China,Shenzhen,2011,22.6,15680.21,5360,22.5431,114.0579,85
China,Shenzhen,2012,23.1,16535.13,5282.2,22.5431,114.0579,85
China,Shenzhen,2013,23.1,17643.19,5323.02,22.5431,114.0579,85
China,Shenzhen,2014,23.2,18529.52,5398.14,22.5431,114.0579,85
China,Shenzhen,2015,23.9,19214.64,7080.72,22.5431,114.0579,85
China,Wuhan,2006,18.3,4375.14,1021.12,30.44,114.23,23
China,Wuhan,2007,18.6,5123.3,1039.79,30.44,114.23,23
China,Wuhan,2008,17.7,6458.24,1046.8,30.44,114.23,23
China,Wuhan,2009,17.9,7454.69,1061.97,30.44,114.23,23
China,Wuhan,2010,16.6,8210.94,1141.95,30.44,114.23,23
China,Wuhan,2011,16.3,9447.73,1169.33,30.44,114.23,23
China,Wuhan,2012,16.4,10935.51,1198.97,30.44,114.23,23
China,Wuhan,2013,17.1,12217.9,1228.61,30.44,114.23,23
China,Wuhan,2014,16.7,13854.83,1258.26,30.44,114.23,23
China,Wuhan,2015,16.8,14305.97,1287.9,30.44,114.23,23
China,Xi'an,2006,15.65,2637.36,813.73,34.15,108.56,425
China,Xi'an,2007,15.6,3192.61,821.67,34.15,108.56,425
China,Xi'an,2008,14.9,3939.77,828.57,34.15,108.56,425
China,Xi'an,2009,15.1,4544.6,834.45,34.15,108.56,425
China,Xi'an,2010,15.3,5368.18,838.36,34.15,108.56,425
China,Xi'an,2011,14.5,6210.65,877.52,34.15,108.56,425
China,Xi'an,2012,14.6,6893.47,904.23,34.15,108.56,425
China,Xi'an,2013,15.8,7617.05,927.03,34.15,108.56,425
China,Xi'an,2014,15.2,8356.39,950.8,34.15,108.56,425
China,Xi'an,2015,15.2,8652.27,978.53,34.15,108.56,425
China,Zhengzhou,2006,15.8,3971.02,973,34.675,113.75,110
China,Zhengzhou,2007,16,4838.49,988,34.675,113.75,110
China,Zhengzhou,2008,15.6,5769.46,999,34.675,113.75,110
China,Zhengzhou,2009,15.5,6283.66,1010,34.675,113.75,110
China,Zhengzhou,2010,15.6,7073.86,1163,34.675,113.75,110
China,Zhengzhou,2011,15.1,8076.14,1220,34.675,113.75,110
China,Zhengzhou,2012,15.5,8813.78,1273,34.675,113.75,110
China,Zhengzhou,2013,16.1,9669.44,1325,34.675,113.75,110
China,Zhengzhou,2014,16.3,10368.14,1383,34.675,113.75,110
China,Zhengzhou,2015,15.9,9942.61,1436,34.675,113.75,110
